Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.6571931589537223,0.6459125475285171,0.6874051593323217,0.6660132320509679
Random Forest,0.9979879275653923,0.9969712266532055,0.9989883662114315,0.9979787771601819
SVM,0.9992454728370221,0.9984848484848485,1.0,0.9992418498862775
